# Dream Street Shuffle — Passage Index
# Total lines in file: 29591
# Total passages: 154
# Generated: 2026-04-13
#
# Usage: to read a passage, use Read tool with offset and limit
# e.g. Read(file, offset=LINE_START, limit=LINE_COUNT)
#
PASSAGE NAME                                             START    END  LINES
Ronnie Scott's [venue-ronnies]                           24818  24872     55
Secrets Display                                          24873  24879      7
Stand your ground [venue-cellar]                         24880  24897     18
Start                                                    24898  24962     65
Stay in Carthage                                         24963  24974     12
Success: Trisha's                                        24975  24979      5
Talk to the Artists                                      24980  25003     24
Talk to the critic                                       25004  25039     36
Talk to the intimidating agent                           25040  25062     23
The Colony Room [venue-colony]                           25063  25095     33
The Colony Room Door                                     25096  25108     13
The French [venue-french]                                25109  25139     31
The Interval                                             25140  25169     30
The Night Ahead                                          25170  25194     25
Name Your Book                                           25195  25229     35
The Spanish Artist                                       25230  25249     20
The Painter's Gaze                                       25250  25270     21
The Stranger at the French                               25271  25283     13
The coast of Carthage                                    25284  25286      3
Carthage shore                                           25287  25357     71
Dream to Dean                                            25358  25364      7
The critic's judgement                                   25365  25397     33
The novelist                                             25398  25424     27
The phone call                                           25425  25443     19
Lily phone call 1                                        25444  25472     29
The dual ring                                            25473  25507     35
Things turn up                                           25508  25514      7
Title                                                    25515  25531     17
Trisha's [venue-trishas]                                 25532  25561     30
Turn to Copper                                           25562  25602     41
Watch the decider                                        25603  25613     11
Watch them play                                          25614  25626     13
Which drink at the French?                               25627  25634      8
Wrong door                                               25635  25643      9
You speak to the poet                                    25644  25664     21
header header [header]                                   25665  25697     33
Build Notebook                                           25698  25807    110
UserStylesheet [stylesheet]                              25808  29591   3784
